"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0318","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5212","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0319","type IV pilus biogenesis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5210","probable secretion pathway ATPase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0322","adenylate cyclase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5209","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0324","N-acetylglutamate synthase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5204","N-acetylglutamate synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0326","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5202","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0327","S1 RNA binding domain-containing protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5201","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0328","DNA-binding response regulator OmpR","","Pseudomonas aeruginosa PAO1 (Reference)","PA5200","AmgR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0329","osmolarity sensor protein EnvZ","","Pseudomonas aeruginosa PAO1 (Reference)","PA5199","AmgS",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0330","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5481","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0338","N-acetylmuramoyl-L-alanine amidase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5485","AmpDh2",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0341","thiol:disulfide interchange protein DsbA","","Pseudomonas aeruginosa PAO1 (Reference)","PA5489","thiol:disulfide interchange protein DsbA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0345","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5494","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0346","homoserine kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5495","homoserine kinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0352","nitrogen regulation protein NR(I)","","Pseudomonas aeruginosa PAO1 (Reference)","PA5125","two-component response regulator NtrC",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0353","nitrogen regulation protein NtrB","","Pseudomonas aeruginosa PAO1 (Reference)","PA5124","two-component sensor NtrB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0356","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5122","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0361","GTP-binding protein TypA","","Pseudomonas aeruginosa PAO1 (Reference)","PA5117","regulatory protein TypA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0367","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0874","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0369","outer membrane porin, OprD family","","Pseudomonas aeruginosa PAO1 (Reference)","PA2505","tyrosine porin OpdT",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0372","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0372","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0372","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0372","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0372","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA4797","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0372","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0372","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0372","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_0375","cation efflux family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2520","Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux transporter CzcA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0376","cation efflux family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2521","Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux membrane fusion protein CzcB precursor",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0377","metal ion efflux outer membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2522","outer membrane protein precursor CzcC",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0378","DNA-binding heavy metal response regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2523","CzcR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0379","heavy metal sensor histidine kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2524","CzcS",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0386","D-erythrose 4-phosphate dehydrogenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0551","D-erythrose 4-phosphate dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0387","phosphoglycerate kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0552","phosphoglycerate kinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0390","fructose-bisphosphate aldolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0555","fructose-1,6-bisphosphate aldolase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0394","renal dipeptidase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5396","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0395","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5397","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0397","iron-sulfur cluster-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5399","DgcB, Dimethylglycine catabolism",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0398","electron transfer flavoprotein subunit alpha","","Pseudomonas aeruginosa PAO1 (Reference)","PA5400","probable electron transfer flavoprotein alpha subunit",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0400","chitinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2300","chitinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0402","iron-sulfur cluster-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5411","GbcB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0406","sensory box/GGDEF domain/EAL domain-containing protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5017","DipA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0409","TldD/PmbA family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2529","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0413","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0356","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0416","ferredoxin","","Pseudomonas aeruginosa PAO1 (Reference)","PA0362","ferredoxin [4Fe-4S]",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0418","coniferyl aldehyde dehydrogenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0366","probable aldehyde dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0421","alpha/beta fold family hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0368","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0425","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0371","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0426","peptidase, M16 family","","Pseudomonas aeruginosa PAO1 (Reference)","PA0372","probable zinc protease",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0428","cell division ATP-binding protein FtsE","","Pseudomonas aeruginosa PAO1 (Reference)","PA0374","cell division protein FtsE",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0429","putative protein insertion permease FtsX","","Pseudomonas aeruginosa PAO1 (Reference)","PA0375","cell division protein FtsX",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0430","RNA polymerase sigma-32 factor","","Pseudomonas aeruginosa PAO1 (Reference)","PA0376","sigma factor RpoH",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0431","monofunctional biosynthetic peptidoglycan transglycosylase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0378","probable transglycosylase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0432","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0379","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0434","thiazole biosynthesis protein ThiG","","Pseudomonas aeruginosa PAO1 (Reference)","PA0381","thiamine biosynthesis protein, thiazole moiety",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0435","tRNA (guanine-N(7)-)-methyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0382","DNA mismatch repair protein MicA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0437","dihydrofolate reductase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0350","dihydrofolate reductase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0441","betaine aldehyde dehydrogenase BADH","","Pseudomonas aeruginosa PAO1 (Reference)","PA5373","betaine aldehyde dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0445","regulatory protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0471","FiuR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0446","membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1909","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0448","glutathione S-transferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0467","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0451","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0462","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0453","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0460","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0455","glutathione-independent formaldehyde dehydrogenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5421","glutathione-independent formaldehyde dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0456","formyltetrahydrofolate deformylase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5420","formyltetrahydrofolate deformylase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0458","sarcosine oxidase, alpha subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA5418","sarcosine oxidase alpha subunit",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0461","serine hydroxymethyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5415","serine hydroxymethyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0462","glycine/betaine/L-proline ABC transporter, ATP-binding subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA5376","CbcV",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0464","glycine betaine/L-proline ABC transporter, periplasmic substrate-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5378","CbcX",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0465","AraC family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA5380","GbdR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0468","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5406","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0469","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5407","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0480","malate synthase G","","Pseudomonas aeruginosa PAO1 (Reference)","PA0482","malate synthase G",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0483","rarD protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0485","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0492","molybdate transport regulator ModE","","Pseudomonas aeruginosa PAO1 (Reference)","PA0487","probable molybdenum transport regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0494","biotin synthetase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0500","biotin synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0495","8-amino-7-oxononanoate synthase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0501","8-amino-7-oxononanoate synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0496","bioH protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0502","probable biotin biosynthesis protein bioH",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0506","acyl-CoA dehydrogenase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0508","probable acyl-CoA dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0508","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1990","PqqH",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0510","coenzyme PQQ synthesis protein D","","Pseudomonas aeruginosa PAO1 (Reference)","PA1988","pyrroloquinoline quinone biosynthesis protein D",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0512","coenzyme PQQ synthesis protein B","","Pseudomonas aeruginosa PAO1 (Reference)","PA1986","pyrroloquinoline quinone biosynthesis protein B",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0514","coenzyme PQQ synthesis protein F","","Pseudomonas aeruginosa PAO1 (Reference)","PA1973","pyrroloquinoline quinone biosynthesis protein F",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0536","sensory box/GGDEF domain/EAL domain-containing protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0575","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0540","O-sialoglycoprotein endopeptidase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0580","O-sialoglycoprotein endopeptidase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0541","membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0581","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0545","SpoVR like family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0586","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0549","bis(5'-nucleosyl)-tetraphosphatase, symmetrical","","Pseudomonas aeruginosa PAO1 (Reference)","PA0590","bis(5'-nucleosyl)-tetraphosphatase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0550","apaG protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0591","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0551","dimethyladenosine transferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0592","rRNA (adenine-N6,N6)-dimethyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0552","pyridoxal phosphate biosynthetic protein PdxA","","Pseudomonas aeruginosa PAO1 (Reference)","PA0593","pyridoxal phosphate biosynthetic protein PdxA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0554","organic solvent tolerance protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0595","LPS-assembly protein LptD",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0555","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0596","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0556","nucleotidyltransferase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0597","probable nucleotidyl transferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0559","sensory box histidine kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0600","two-component sensor, AgtS",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0562","polyamine ABC transporter ATP-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0603","AgtA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0563","polyamine ABC transporter periplasmic polyamine-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0604","AgtB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0564","polyamine ABC transporter permease","","Pseudomonas aeruginosa PAO1 (Reference)","PA0605","AgtC",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0565","polyamine ABC transporter permease","","Pseudomonas aeruginosa PAO1 (Reference)","PA0606","AgtD",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0567","phosphoglycolate phosphatase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0608","probable phosphoglycolate phosphatase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0568","anthranilate synthase, component I","","Pseudomonas aeruginosa PAO1 (Reference)","PA0609","anthranilate synthetase component I",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0595","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4286","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0599","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0655","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0600","HIT family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0656","probable HIT family protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0602","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0659","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0606","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0666","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0607","peptidase, M23/M37 family","","Pseudomonas aeruginosa PAO1 (Reference)","PA0667","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0610","birA bifunctional protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4280","BirA bifunctional protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0611","pantothenate kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4279","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0614","transcription antitermination protein NusG","","Pseudomonas aeruginosa PAO1 (Reference)","PA4275","transcription antitermination protein NusG",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0615","50S ribosomal protein L11","","Pseudomonas aeruginosa PAO1 (Reference)","PA4274","50S ribosomal protein L11",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0616","50S ribosomal protein L1","","Pseudomonas aeruginosa PAO1 (Reference)","PA4273","50S ribosomal protein L1",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0619","DNA-directed RNA polymerase subunit beta","","Pseudomonas aeruginosa PAO1 (Reference)","PA4270","DNA-directed RNA polymerase beta chain",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0620","DNA-directed RNA polymerase subunit beta'","","Pseudomonas aeruginosa PAO1 (Reference)","PA4269","DNA-directed RNA polymerase beta* chain",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0623","translation elongation factor G","","Pseudomonas aeruginosa PAO1 (Reference)","PA4266","elongation factor G",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0627","50S ribosomal protein L4","","Pseudomonas aeruginosa PAO1 (Reference)","PA4262","50S ribosomal protein L4",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0629","50S ribosomal protein L2","","Pseudomonas aeruginosa PAO1 (Reference)","PA4260","50S ribosomal protein L2",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0631","50S ribosomal protein L22","","Pseudomonas aeruginosa PAO1 (Reference)","PA4258","50S ribosomal protein L22",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0632","30S ribosomal protein S3","","Pseudomonas aeruginosa PAO1 (Reference)","PA4257","30S ribosomal protein S3",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0634","50S ribosomal protein L29","","Pseudomonas aeruginosa PAO1 (Reference)","PA4255","50S ribosomal protein L29",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0635","30S ribosomal protein S17","","Pseudomonas aeruginosa PAO1 (Reference)","PA4254","30S ribosomal protein S17",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0636","50S ribosomal protein L14","","Pseudomonas aeruginosa PAO1 (Reference)","PA4253","50S ribosomal protein L14",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0638","50S ribosomal protein L5","","Pseudomonas aeruginosa PAO1 (Reference)","PA4251","50S ribosomal protein L5",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0639","30S ribosomal protein S14","","Pseudomonas aeruginosa PAO1 (Reference)","PA4250","30S ribosomal protein S14",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0640","30S ribosomal protein S8","","Pseudomonas aeruginosa PAO1 (Reference)","PA4249","30S ribosomal protein S8",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0641","50S ribosomal protein L6","","Pseudomonas aeruginosa PAO1 (Reference)","PA4248","50S ribosomal protein L6",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0643","30S ribosomal protein S5","","Pseudomonas aeruginosa PAO1 (Reference)","PA4246","30S ribosomal protein S5",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0644","50S ribosomal protein L30","","Pseudomonas aeruginosa PAO1 (Reference)","PA4245","50S ribosomal protein L30",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0645","50S ribosomal protein L15","","Pseudomonas aeruginosa PAO1 (Reference)","PA4244","50S ribosomal protein L15",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0646","preprotein translocase subunit SecY","","Pseudomonas aeruginosa PAO1 (Reference)","PA4243","secretion protein SecY",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0647","50S ribosomal protein L36","","Pseudomonas aeruginosa PAO1 (Reference)","PA4242","50S ribosomal protein L36",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0650","30S ribosomal protein S4","","Pseudomonas aeruginosa PAO1 (Reference)","PA4239","30S ribosomal protein S4",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0651","DNA-directed RNA polymerase subunit alpha","","Pseudomonas aeruginosa PAO1 (Reference)","PA4238","DNA-directed RNA polymerase alpha chain",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0653","bacterioferritin","","Pseudomonas aeruginosa PAO1 (Reference)","PA4235","bacterial ferritin",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0654","excinuclease ABC subunit A","","Pseudomonas aeruginosa PAO1 (Reference)","PA4234","excinuclease ABC subunit A",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0655","major facilitator family transporter","","Pseudomonas aeruginosa PAO1 (Reference)","PA4233","probable major facilitator superfamily (MFS) transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0680","lipoprotein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4066","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0681","permease","","Pseudomonas aeruginosa PAO1 (Reference)","PA4065","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0683","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4063","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0685","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4062","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0686","thioredoxin","","Pseudomonas aeruginosa PAO1 (Reference)","PA4061","probable thioredoxin",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0688","lipoprotein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4058","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0689","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4057","NrdR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0692","bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II-like protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4054","GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0695","thiamine monophosphate kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4051","thiamine monophosphate kinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0696","GTP cyclohydrolase II","","Pseudomonas aeruginosa PAO1 (Reference)","PA4047","GTP cyclohydrolase II",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0697","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4046","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0698","deoxyxylulose-5-phosphate synthase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4044","1-deoxyxylulose-5-phosphate synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0703","putative S-transferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1033","probable glutathione S-transferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0724","DedA family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4029","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0725","GNAT family acetyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4026","probable acetyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0726","ethanolamine ammonia-lyase, light subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA4025","probable ethanolamine ammonia-lyase light chain",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0727","ethanolamine ammonia-lyase, heavy subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA4024","ethanolamine ammonia-lyase large subunit",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0729","UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4020","UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0731","lipoprotein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4018","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_0732","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4017","conserved hypothetical protein",""
