,0,12,24,36,48,60
D-Arabinose,0.0638,0.1018,0.0989,0.1007,0.1002,0.1007
Maltitol,0.0621,0.1125,0.1139,0.1138,0.1088,0.1207
Stachyose,0.0621,0.1085,0.1064,0.105,0.1022,0.1012
D-Glucosamine,0.0692,0.1031,0.1109,0.108,0.1069,0.1059
Oxalomalic Acid,0.0611,0.1149,0.105,0.0847,0.0763,0.0848
Glycine,0.0626,0.0712,0.0751,0.0755,0.078,0.0772
"D,L-Carnitine",0.0604,0.1033,0.1022,0.0898,0.0814,0.0818
Dextrin,0.0708,0.1237,0.1241,0.1241,0.1208,0.1214
D-Arabitol,0.0638,0.1762,0.3268,0.4054,0.4274,0.4542
a-Methyl-D-Glucoside,0.0632,0.1171,0.1073,0.094,0.0871,0.0981
D-Tagatose,0.0648,0.1097,0.1138,0.1102,0.1018,0.1088
2-Hydroxy Benzoic Acid,0.07,0.0655,0.0634,0.0653,0.0685,0.0639
Quinic Acid,0.061,0.2144,0.3806,0.3775,0.3625,0.4199
L-Histidine,0.0602,0.1007,0.118,0.1457,0.213,0.3607
Sec-Butylamine,0.0621,0.1076,0.1095,0.0954,0.0907,0.0988
Gelatin,0.067,0.1084,0.1076,0.0974,0.088,0.0821
L-Arabitol,0.063,0.111,0.1144,0.1138,0.1017,0.1037
beta-Methyl-D-Galactoside,0.0617,0.1134,0.1176,0.101,0.0883,0.106
Turanose,0.0614,0.1218,0.1215,0.1006,0.0907,0.1176
4-Hydroxy Benzoic Acid,0.0648,0.0764,0.0908,0.1156,0.1481,0.2034
"D-Ribino-1,4-Lactone",0.0611,0.1064,0.1032,0.0953,0.0908,0.0839
L-Homoserine,0.0557,0.0509,0.059,0.0574,0.0565,0.0543
"D,L-Octopamine",0.0607,0.1075,0.0985,0.0947,0.0905,0.0979
Glycogen,0.0692,0.1191,0.1166,0.1038,0.0916,0.1184
Arbutin,0.0622,0.1097,0.1195,0.1323,0.1254,0.1165
3-Methyl Glucose,0.0621,0.1085,0.109,0.1035,0.0974,0.1121
Xylitol,0.0605,0.1117,0.1116,0.0916,0.0818,0.0951
beta-Hydroxy Butyric Acid,0.0595,0.0896,0.1069,0.1324,0.174,0.2164
Sebacic Acid,0.0664,0.1032,0.1043,0.1014,0.0984,0.0906
Hydroxy-L-Proline,0.0652,0.1127,0.1183,0.1037,0.0931,0.0866
Putrescine,0.0605,0.0974,0.1089,0.0935,0.1296,0.1823
Inulin,0.1524,0.3487,0.3592,0.3596,0.3428,0.3455
2-Deoxy-D-Ribose,0.0682,0.0888,0.0905,0.0915,0.0924,0.0925
beta-Methyl-D-Glucuronic Acid,0.0621,0.1058,0.1077,0.1078,0.1034,0.0967
N-Acetyl-D-Glucosaminitol,0.0641,0.1082,0.111,0.0942,0.0806,0.0899
gamma-Hydroxy Butyric Acid,0.058,0.1035,0.1059,0.1037,0.1048,0.0982
Sorbic Acid,0.0797,0.0919,0.1087,0.1151,0.1102,0.1207
L-Isoleucine,0.0619,0.0854,0.0962,0.0988,0.1098,0.1202
Dihydroxy Acetone,0.1367,0.1181,0.1194,0.1174,0.1159,0.1103
Laminarin,0.0597,0.2498,0.2803,0.2258,0.2002,0.242
i-Erythritol,0.0614,0.109,0.1066,0.0987,0.0978,0.0954
alpha-Methyl-D-Mannoside,0.0619,0.1111,0.108,0.0993,0.0871,0.1105
gamma-Amino Butyric Acid,0.0619,0.1854,0.4695,0.666,0.6973,0.6576
a-Keto-Valeric Acid,0.0617,0.0844,0.098,0.1015,0.1057,0.1072
Succinamic Acid,0.0565,0.1139,0.1181,0.12,0.1214,0.1184
L-Leucine,0.066,0.1096,0.1371,0.1888,0.2712,0.3525
"2,3-Butanediol",0.06,0.106,0.1108,0.0957,0.0883,0.0895
Mannan,0.0644,0.1088,0.1078,0.0922,0.081,0.0975
D-Fucose,0.0602,0.1055,0.1195,0.1251,0.1228,0.1173
beta-Methyl-D-Xyloside,0.0609,0.1089,0.1067,0.0986,0.0917,0.0996
delta-Amino Valeric Acid,0.0631,0.1028,0.1092,0.1328,0.1724,0.1996
Itaconic Acid,0.0592,0.1013,0.0988,0.0912,0.0876,0.089
D-Tartaric Acid,0.0607,0.1537,0.3162,0.3107,0.2653,0.2442
L-Lysine,0.0586,0.109,0.113,0.113,0.1144,0.1155
"2,3-Butanedione",0.0633,0.0926,0.0972,0.0794,0.07,0.0698
Pectin,0.0957,0.2988,0.3448,0.3057,0.2904,0.2659
3-0-beta-D-Galacto-pyranosyl-D-Arabinose,0.0737,0.1204,0.1276,0.1218,0.1072,0.1234
Palatinose,0.0597,0.1005,0.1036,0.1079,0.1044,0.0995
Butyric Acid,0.0613,0.1107,0.124,0.1262,0.1164,0.1378
5-Keto-D-Gluconic Acid,0.063,0.1074,0.1053,0.0907,0.0888,0.0927
L-Tartaric Acid,0.0605,0.1119,0.1111,0.1117,0.1113,0.1891
L-Methionine,0.0642,0.0993,0.1017,0.0985,0.0976,0.0925
3-Hydroxy 2-Butanone,0.0687,0.1166,0.1217,0.1189,0.1087,0.1121
